index_code,date,close_price
us_momentum,1999-12-31,23.295071
us_momentum,2000-01-03,23.222856
us_momentum,2000-01-04,22.152283
us_momentum,2000-01-05,22.065889
us_momentum,2000-01-06,21.719454
us_momentum,2000-01-07,22.468775
us_momentum,2000-01-10,23.133851
us_momentum,2000-01-11,22.631847
us_momentum,2000-01-12,22.450792
us_momentum,2000-01-13,22.852661
us_momentum,2000-01-14,23.225159
us_momentum,2000-01-18,23.25303
us_momentum,2000-01-19,23.355343
us_momentum,2000-01-20,23.348336
us_momentum,2000-01-21,23.371685
us_momentum,2000-01-24,22.635477
us_momentum,2000-01-25,22.845987
us_momentum,2000-01-26,22.594681
us_momentum,2000-01-27,22.443296
us_momentum,2000-01-28,21.639826
us_momentum,2000-01-31,21.992555
us_momentum,2000-02-01,22.467595
us_momentum,2000-02-02,22.555218
us_momentum,2000-02-03,23.046922
us_momentum,2000-02-04,23.113758
us_momentum,2000-02-07,23.208525
us_momentum,2000-02-08,23.63092
us_momentum,2000-02-09,23.17248
us_momentum,2000-02-10,23.522384
us_momentum,2000-02-11,22.997835
us_momentum,2000-02-14,23.110525
us_momentum,2000-02-15,23.286165
us_momentum,2000-02-16,23.118504
us_momentum,2000-02-17,23.319635
us_momentum,2000-02-18,22.617714
us_momentum,2000-02-22,22.642594
us_momentum,2000-02-23,23.206394
us_momentum,2000-02-24,23.396687
us_momentum,2000-02-25,23.080831
us_momentum,2000-02-28,23.182387
us_momentum,2000-02-29,23.736446
us_momentum,2000-03-01,24.026031
us_momentum,2000-03-02,23.956355
us_momentum,2000-03-03,24.763684
us_momentum,2000-03-06,24.587862
us_momentum,2000-03-07,24.137904
us_momentum,2000-03-08,24.251352
us_momentum,2000-03-09,24.966767
us_momentum,2000-03-10,24.869397
us_momentum,2000-03-13,24.34714
us_momentum,2000-03-14,23.599682
us_momentum,2000-03-15,23.469884
us_momentum,2000-03-16,24.441537
us_momentum,2000-03-17,24.854599
us_momentum,2000-03-20,24.434557
us_momentum,2000-03-21,25.106507
us_momentum,2000-03-22,25.761787
us_momentum,2000-03-23,26.161094
us_momentum,2000-03-24,26.239578
us_momentum,2000-03-27,26.420631
us_momentum,2000-03-28,25.863156
us_momentum,2000-03-29,25.268303
us_momentum,2000-03-30,24.492566
us_momentum,2000-03-31,24.913838
us_momentum,2000-04-03,24.144001
us_momentum,2000-04-04,23.798741
us_momentum,2000-04-05,23.972472
us_momentum,2000-04-06,24.504661
us_momentum,2000-04-07,25.195693
us_momentum,2000-04-10,24.308804
us_momentum,2000-04-11,23.788596
us_momentum,2000-04-12,22.582514
us_momentum,2000-04-13,22.076666
us_momentum,2000-04-14,20.440785
us_momentum,2000-04-17,21.530279
us_momentum,2000-04-18,22.557273
us_momentum,2000-04-19,22.187334
us_momentum,2000-04-20,22.100803
us_momentum,2000-04-24,21.610165
us_momentum,2000-04-25,22.653936
us_momentum,2000-04-26,22.379823
us_momentum,2000-04-27,22.726711
us_momentum,2000-04-28,22.788073
us_momentum,2000-05-01,23.129894
us_momentum,2000-05-02,22.521578
us_momentum,2000-05-03,21.972051
us_momentum,2000-05-04,21.934699
us_momentum,2000-05-05,22.349265
us_momentum,2000-05-08,21.906749
us_momentum,2000-05-09,21.562813
us_momentum,2000-05-10,20.754208
us_momentum,2000-05-11,21.293817
us_momentum,2000-05-12,21.536567
us_momentum,2000-05-15,22.06852
us_momentum,2000-05-16,22.476787
us_momentum,2000-05-17,22.13514
us_momentum,2000-05-18,21.772124
us_momentum,2000-05-19,21.095011
us_momentum,2000-05-22,20.871404
